INPUT:diff1	INPUT:diff2	INPUT:query1	INPUT:query2	OUTPUT:result	CONFIDENCE:result
папа	пара	usb папа мама	usb пара мама	no	98.69%
gree	green	gree 18	green 18	yes	96.23%
кожух	кожа	audi a4 b7 кожух	audi a4 b7 кожа	no	84.09%
ear	air	ear pods	air pods	yes	91.17%
аксесуары	аксессуар	аксесуары samsung	аксессуар samsung	no	67.00%
антена	антенну	антена для алан 42	антенну для алан 42	yes	99.99%
бош	бак	бензонасос бош	бензонасос бак	no	99.59%
аквилла	акрила	аквилла	акрила	no	68.32%
trustmaster	thrustmaster	trustmaster driving force gt	thrustmaster driving force gt	no	60.93%
шуруповёрт	шуруповерта	bosh шуруповёрт	bosh шуруповерта	no	99.60%
бондаж	бандаж	бондаж для беременных	бандаж для беременных	yes	99.87%
рессивер	ресиверы	subaru воздушный рессивер	subaru воздушный ресиверы	no	98.35%
ecp	esp	ecp-90-аудио	esp-90-аудио	yes	99.05%
jcb	usb	jcb 540	usb 540	no	98.05%
шеврале	шевроле	решетка радиатора шеврале круз 2011	решетка радиатора шевроле круз 2011	yes	99.99%
qashgai	qashqai	nissan qashgai	nissan qashqai	yes	95.50%
хондай	хонду	запчасти хондай разборка соната	запчасти хонду разборка соната	no	99.66%
tikka	tokka	petzl tikka xp	petzl tokka xp	yes	76.23%
mersedes	mercedes	mersedes gls	mercedes gls	yes	99.72%
ампер	бампер	k10000 ампер	k10000 бампер	no	80.92%
ауз	уаз	ауз	уаз	yes	96.42%
ntktajys	телефоны	ntktajys	телефоны	yes	96.77%
tomi	tommy	рубашка новая tomi hilfiger	рубашка новая tommy hilfiger	yes	92.85%
sims	sim	the sims limited edition	the sim limited edition	no	92.04%
tayota	toyota	блок srs tayota	блок srs toyota	yes	99.34%
lachetti	lacetti	chevrolet lachetti	chevrolet lacetti	yes	94.02%
astin	aston	astin	aston	no	99.33%
pre	pro	iphone 7 pre	iphone 7 pro	yes	99.64%
нокио	нокиа	аккумулятор нокио	аккумулятор нокиа	yes	78.39%
ланос	насос	бензонасосы на ланос	бензонасосы на насос	no	99.95%
kemper	camper	kemper горелка газовая	camper горелка газовая	no	96.14%
bose	bosch	audi a8 bose	audi a8 bosch	no	68.08%
akai	kia	akai rpm3	kia rpm3	no	99.99%
територии	территории	аренда територии	аренда территории	yes	99.48%
анна	ванна	анна нащёкино	ванна нащёкино	no	94.66%
crysler	chrysler	awd crysler	awd chrysler	yes	98.38%
аккомулятор	аккумуляторы	аккомулятор для лодки	аккумуляторы для лодки	yes	99.90%
комбо	комод	блок управления опель комбо	блок управления опель комод	no	97.70%
audio	audi	m audio oxygen	m audi oxygen	no	93.98%
optimus	optima	lg optimus one	lg optima one	no	95.90%
for	ford	english for businessmen дудкина	english ford businessmen дудкина	yes	92.50%
currenza	current	nri currenza blue	nri current blue	no	94.56%
alkatel	alcatel	alkatel onetouch pixi	alcatel onetouch pixi	yes	99.94%
бмх	бмв	бмх для детей	бмв для детей	yes	76.38%
sheld	shield	sheld	shield	yes	55.62%
cue	cube	play cue	play cube	yes	96.96%
бисерная	бисера	бисерная мельница	бисера мельница	no	99.99%
pappy	puppy	pali pappy rock	pali puppy rock	no	99.98%
brio	pro	brio builder	pro builder	no	92.20%
joom	zoom	joom	zoom	no	99.76%
witch	switch	apple witch 3	apple switch 3	no	92.99%
bynthytn	интернет	bynthytn vfufpby	интернет vfufpby	yes	99.99%
qashkai	qashqai	qashkai накладка	qashqai накладка	yes	99.99%
назад	мазда	5 дня назад	5 дня мазда	no	99.80%
амартизаторы	амортизаторы	амартизаторы ниссан алмера	амортизаторы ниссан алмера	yes	99.99%
bmx	bmw	bmx 16	bmw 16	no	95.59%
airpod	airport	1 один наушник airpod	1 один наушник airport	no	99.97%
cts	gtx	cts крыло правое	gtx крыло правое	no	98.22%
ацфон	айфон	ацфон 7	айфон 7	yes	95.93%
бензанасос	бензонасос	бензанасос на рено кангу	бензонасос на рено кангу	yes	87.58%
sansa	hansa	sansa clip sandisk	hansa clip sandisk	no	50.46%
salaris	solaris	hyundai salaris	hyundai solaris	yes	99.34%
arts	art	valley arts	valley art	yes	77.36%
доя	дня	балоны доя дайвинга	балоны дня дайвинга	no	99.87%
гризли	грили	бампер ямаха гризли 700	бампер ямаха грили 700	no	98.50%
ito	vito	ito	vito	no	99.99%
phils	phil	коляска для погодок phils and teds	коляска для погодок phil and teds	yes	99.99%
cтанок	станок	cтанок для правки дисков	станок для правки дисков	yes	99.49%
курская	куртка	2-я курская	2-я куртка	no	99.43%
hhd	hdd	hhd 3 0	hdd 3 0	yes	98.90%
expley	explay	expley vega	explay vega	yes	96.80%
praim	prime	j2 praim	j2 prime	yes	99.99%
satellit	satellite	grundig satellit	grundig satellite	yes	94.00%
амурская	мужская	амурская 208	мужская 208	no	97.31%
кунгур	кенгуру	авито кунгур	авито кенгуру	no	99.98%
банан	баня	банан tiny love	баня tiny love	yes	56.49%
аммортизатор	амортизатора	аммортизатор капота kia sportage	амортизатора капота kia sportage	yes	98.39%
купон	куплю	аквапарк купон	аквапарк куплю	no	99.85%
start	sport	start stop камплект	sport stop камплект	no	99.96%
pma	puma	denon pma 720ae	denon puma 720ae	no	65.38%
molo	polo	molo 6-8	polo 6-8	no	98.25%
xenon	canon	xenon 3450	canon 3450	yes	72.00%
cbt	cbr	cbt	cbr	no	76.02%
ukeibntkm	глушитель	ukeibntkm	глушитель	yes	92.81%
бивинь	бивень	бивинь мамонта	бивень мамонта	yes	99.99%
аляски	коляски	аляски сапоги	коляски сапоги	no	99.81%
расрочка	рассрочку	авто расрочка	авто рассрочку	yes	99.97%
плата	платье	supermicro плата	supermicro платье	no	99.99%
ymaha	yamaha	бас гитара ymaha	бас гитара yamaha	yes	99.99%
апарат	аппараты	апарат сладкая вата	аппараты сладкая вата	yes	60.24%
port	ford	ford focus split port	ford focus split ford	no	96.75%
cannon	canon	cannon фотоаппарат	canon фотоаппарат	yes	97.84%
stils	stels	viola stils	viola stels	no	99.97%
cony	sony	marc cony	marc sony	yes	74.80%
samsun	samsung	батарея samsun	батарея samsung	yes	99.99%
картридер	картридж	pcmcia картридер	pcmcia картридж	no	78.33%
зад	год	ford explorer 5 зад	ford explorer 5 год	yes	97.19%
алфы	альфы	алфы 110	альфы 110	yes	99.89%
аксесуары	аксессуар	аксесуары на golf2	аксессуар на golf2	no	76.04%
док	диск	philips iphone док	philips iphone диск	no	93.39%
eti	yeti	eti topper	yeti topper	no	96.31%
автомобильний	автомобильный	автомобильний холодильник	автомобильный холодильник	yes	99.99%
апарат	аппарат	апарат для наращивания волос	аппарат для наращивания волос	yes	99.99%
henessy	hennessy	henessy	hennessy	no	80.87%
рол	пол	авто рол	авто пол	no	56.84%
newerwinter	neverwinter	newerwinter night 2 gold	neverwinter night 2 gold	yes	98.91%
stress	street	stress railhop	street railhop	yes	90.54%
manga	mango	mango manga	mango mango	no	84.09%
fdnjuhfa	автограф	fdnjuhfa	автограф	yes	99.94%
outcast	outlast	outcast	outlast	no	95.52%
решотка	решетки	skoda superb решотка	skoda superb решетки	yes	99.47%
сергеевом	сергиевом	духовку в сергеевом посаде	духовку в сергиевом посаде	yes	68.21%
gelaxy	galaxy	samsung gelaxy alfa	samsung galaxy alfa	yes	99.73%
вариатор	радиатор	qashqai вариатор	qashqai радиатор	no	99.99%
гиро	гидро	honda гиро	honda гидро	no	99.30%
ваночка	вагонка	cam ваночка	cam вагонка	no	99.72%
bmv	bmw	bmv x6 2009	bmw x6 2009	no	62.07%
hipp	happy	hipp combiotic	happy combiotic	no	56.10%
volga	volvo	siber volga	siber volvo	no	99.51%
ving	wing	foo foo ving	foo foo wing	no	76.05%
amx	amd	alto amx 180 f	alto amd 180 f	no	99.99%
жестяншик	жестянщик	авто маляр жестяншик	авто маляр жестянщик	yes	97.90%
бра	пара	бра фарфор	пара фарфор	no	83.03%
салярис	солярис	акпп на салярис	акпп на солярис	yes	98.51%
www	wwe	http www avito ru 1009248272	http wwe avito ru 1009248272	no	99.99%
гло	гбо	барбус суматранский гло	барбус суматранский гбо	no	89.56%
harmoni	harmony	harmoni	harmony	yes	54.09%
eleaf	leaf	eleaf piko	leaf piko	no	88.07%
бомбер	бампер	бомбер h m	бампер h m	no	99.93%
macro	micro	olympus macro	olympus micro	no	95.66%
азс	газ	азс новосибирск	газ новосибирск	no	98.56%
део	дэу	бензобак део нексия	бензобак дэу нексия	yes	99.99%
types	type-c	honda accord types	honda accord type-c	no	70.59%
spedway	speedway	spedway	speedway	yes	98.22%
билон	бидон	билон царский	бидон царский	no	99.99%
selfi	selfie	asus zenfone selfi	asus zenfone selfie	no	77.82%
стеклоподьемника	стеклоподъемник	блок управления кнопками стеклоподьемника тойота	блок управления кнопками стеклоподъемник тойота	yes	99.92%
истоки	история	assassin истоки	assassin история	no	95.37%
untill	until	untill ps4	until ps4	yes	99.77%
аккамулятор	аккумулятор	аккамулятор мерседес на	аккумулятор мерседес на	yes	97.93%
